Site,Mg_ugL,Ca_ugL,Fe_ugL,V_ugL,Mn_ugL,Co_ugL,Ni_ugL,Cu_ugL,Zn_ugL,Mo_ugL,Cd_ugL,Se_ugL,NO3_ugL,SRP_ugL,NH4_ugL,TDN_ugL,TDP_ugL,TN_ugL,TP_ugL,Alk_mgL,pH,Cond_uScm
Beaver Dam,3101,20179,216.5,0.09,292,6.23,11.92,0.73,20.63,0.08,0.12,0.57,40,8,14,145,5,239,5,NA,6.4,196.2
Big Garlic,3966,24281,209.5,0.75,16,0.06,0.08,0.39,0.3,0.7,0.03,0.57,177,4,13,NA,5,277,5,44,6.37,155.2
Big Pup,2600,13676,50.5,0.61,11,0.03,0.14,0.66,1.2,1.82,0.03,0.57,177,5,8,228,5,187,14,37,5.6,112.7
Breakneck,14409,32661,207,0.42,117,0.2,0.89,0.92,0.3,1.23,0.03,0.57,542,17,76,1014,20,1037,27,72,7.75,583.5
Cedar,4213,25016,224,1.18,27,0.07,0.19,0.24,0.55,0.42,0.03,0.57,67,6,8,175,5,170,706,59,5.88,166.2
Cemetary,11409,42270,30.5,0.16,4,0.05,0.43,0.74,1.57,1,0.03,0.57,194,7,11,248,5,279,8,124,7.77,361.9
Central,5916,21912,528.5,0.32,264,0.26,0.27,3.54,1.15,0.19,0.03,0.57,4,6,10,260,5,205,5,84,NA,251.2
Chagrin,15836,61902,237.8,0.22,28,0.15,0.88,1.1,54.96,2.67,0.03,0.57,83,4,14,208,7,150,7,123,7.87,616.75
Chance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8611,10,23,2323,14,1170,253,NA,8.72,1032
Chapel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3690,21,66,2816,22,2924,240,NA,7.64,289.1
Clark,2712,13516,51,0.84,4,0.03,0.05,0.17,0.3,0.08,0.03,0.57,39,5,8,134,5,86,5,36,5.94,111.3
Cliff,6108,28630,339,1.59,38,0.06,0.22,27.89,0.3,1.5,0.03,0.57,21,6,13,226,5,124,12,68,NA,193.5
